,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b1221,813,715,1370,1260,845,829,1262,1262
b1222,667,638,962,957,757,655,864,1003
b1223,113,79,22,21,21,18,36,31
b1224,412,338,215,206,130,106,188,169
b1225,122,92,154,170,73,50,153,118
b1226,30,44,75,81,28,29,51,58
b1227,59,44,76,80,44,43,94,71
b1229,34,29,7,4,25,35,9,15
b1232,3396,2867,2546,2190,3027,2742,2353,2565
b1233,643,558,285,262,586,561,394,452
b1234,1095,856,2228,1993,1049,1106,2421,2349
b1235,767,631,2807,2867,902,901,2545,2879
b1236,3115,2556,4410,3786,2914,2909,4064,3477
b1237,10358,8580,12926,12245,10858,10159,15410,17043
b1238,454,385,294,183,479,459,337,275
b1241,17065,14546,42134,41410,18393,17252,38994,43799
b1242,76,47,127,119,77,90,139,171
b1243,12278,10755,23779,16430,9318,8594,54835,56925
b1244,1056,784,839,580,411,410,2390,2338
b1245,1011,878,759,579,386,409,2223,2185
b1246,1001,803,1339,1070,410,429,3254,3380
b1247,1347,1088,1477,1124,647,525,3251,3205
b1248,640,559,379,298,691,662,372,421
b1249,1319,1112,1683,1509,1674,1701,1704,1737
b1250,421,403,443,372,437,435,622,623
b1251,972,701,763,556,1331,1268,996,911
b1252,1331,1013,5072,3938,4171,4043,4705,4271
b1253,370,294,196,151,239,234,187,222
b1254,642,525,555,522,647,633,557,558
b1255,507,491,514,493,604,604,497,552
b1256,74,50,24,25,17,27,30,13
b1257,120,102,1594,1637,208,221,1780,1873
b1258,113,113,2226,2333,185,193,2566,2681
b1259,70,58,1422,1645,138,137,2063,1532
b1260,4729,3902,2222,1762,5192,4591,2518,3058
b1261,4728,4026,2936,2209,5165,4688,3334,4035
b1262,2877,2253,1747,1301,3015,2724,1846,2369
b1263,3944,3114,2748,1883,4945,4260,3706,4213
b1264,5354,4526,2766,1921,6607,5714,4015,5025
b1265,202,213,113,59,213,237,223,280
b1266,606,598,1134,1169,767,643,1069,1321
b1267,554,456,1400,1517,594,602,1269,1587
b1268,117,96,125,123,143,127,159,135
b1269,1742,1468,524,457,993,919,704,678
b1270,278,218,366,287,311,285,343,362
b1271,446,398,734,579,491,457,632,617
b1272,1333,1028,1858,1507,1255,1325,1938,1790
b1273,496,454,586,505,543,463,469,414
b1274,7203,5850,7670,6744,6746,6475,6355,6013
b1275,1587,1414,1137,1067,1609,1468,1084,1257
b1276,4624,3758,5551,5478,2698,2650,6635,6185
b1277,739,676,796,702,715,793,794,807
b1278,297,249,459,394,304,351,485,446
b1279,441,380,330,303,397,481,421,320
b1280,768,640,904,961,919,821,995,1123
b1281,1606,1264,451,324,1095,1072,588,671
b1282,360,352,105,105,296,324,125,201
b1283,515,369,3032,3292,549,532,2590,3070
b1284,599,504,867,808,744,744,1082,1142
b1285,780,735,1922,1630,967,985,2021,1769
b1286,10340,8885,6496,6139,8801,8215,5656,7405
b1287,1612,1405,4221,5417,2232,2157,3123,3688
b1288,9783,7889,9629,8752,8327,7847,8656,8291
b1289,47,36,65,71,39,32,70,89
b1290,295,274,477,480,280,260,352,402
b1291,522,430,869,790,483,455,790,717
b1292,132,110,184,174,122,110,162,160
b1293,205,167,328,289,188,196,258,222
b1294,714,608,1188,1190,667,632,1011,1154
b1295,278,247,177,155,251,215,202,205
b1296,386,285,268,235,151,148,370,255
b1297,2823,2071,1227,1197,657,591,1524,1483
b1298,852,570,311,379,214,220,451,529
b1299,526,389,297,320,218,232,374,422
b1300,921,674,295,307,171,152,486,526
b1301,462,284,183,203,70,77,277,294
b1302,336,236,130,117,84,49,218,179
b1303,168,154,227,196,185,180,198,170
b1304,686,572,816,673,859,784,586,678
b1305,25,29,44,50,33,45,34,52
b1306,48,32,97,110,69,60,77,96
b1307,23,17,48,62,19,17,55,80
b1308,351,282,170,91,313,304,185,114
b1309,17,16,13,10,17,15,16,10
b1310,7,2,15,12,8,8,6,7
