,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b3058,242,173,86,67,118,141,122,123
b3059,599,520,315,559,720,642,515,644
b3060,46,34,22,32,41,37,26,25
b3061,17,20,12,17,15,26,16,26
b3062,13,12,5,12,14,8,11,18
b3063,14,16,9,18,15,21,18,28
b3064,1858,1486,1294,2170,1691,1560,2145,1951
b3065,33075,29891,5266,5456,28722,24944,9850,7261
b3066,7035,5824,2622,4955,6033,5297,4784,5379
b3067,15034,12523,16164,28149,17661,16527,26176,25830
b3068,1054,917,1173,1875,1613,1621,2364,2555
b3070,973,733,1357,2132,4010,3811,2564,2274
b3071,880,609,589,798,1364,1172,741,687
b3072,341,281,241,412,322,326,479,444
b3073,5921,4677,21811,43748,6684,6717,53651,51758
b3074,2,11,3,2,9,6,3,9
b3075,596,563,230,319,657,646,359,415
b3076,103,109,66,169,81,86,108,150
b3077,9,8,2,17,11,13,8,4
b3078,7,6,5,15,10,11,0,16
b3079,6,7,8,15,12,6,5,9
b3080,73,32,60,78,68,80,124,97
b3081,328,241,123,220,196,188,249,243
b3082,124,106,81,133,141,140,127,104
b3083,63,51,21,36,82,85,35,55
b3084,772,667,163,251,494,381,337,329
b3085,314,226,134,226,299,293,264,224
b3086,22,10,7,18,12,6,6,12
b3087,943,767,967,2014,1169,1099,1578,1782
b3088,165,103,44,60,128,120,119,101
b3089,3466,2805,3923,6182,3666,3752,9757,9600
b3090,64,57,39,64,48,51,51,40
b3091,302,269,147,347,281,275,341,284
b3092,573,493,219,468,402,418,508,535
b3093,211,192,264,517,237,241,514,538
b3094,1588,1287,1256,2567,1363,1207,2131,2229
b3095,1103,930,924,1682,1084,1108,1556,1489
b3096,426,354,202,460,367,359,545,414
b3097,4540,3964,3381,8053,5262,5142,9676,9507
b3098,5192,4378,854,13158,6327,6056,12025,13216
b3099,3568,2606,1717,10624,3947,3975,10057,9283
b3100,2259,1535,1802,6774,2424,2303,7414,5683
b3101,86,56,75,102,60,71,179,142
b3102,826,656,2300,4641,1057,986,4091,4057
b3103,676,479,664,989,722,766,1068,757
b3104,23,13,9,9,16,28,14,13
b3105,1039,759,499,607,959,870,898,796
b3106,91,75,88,129,67,98,208,169
